Protein IDs, OP34, OP37, OP40, OP42, OP43, OP1, OP19, OP2, OP20, OP21, OP22, OP23, OP24, OP3, OP4, OP10, OP5, OP6, OP7, OP8, OP9, NSOP_13, NSOP_15,SOP62, SOP67, SOP73, SOP79, SOP80, SOP82, SOP83, SOP84, SOP28, SOP29, SOP85, SOP30, SOP31, SOP32, SOP35, SOP36, SOP38
,Severe,Severe,Severe,Severe,Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Severe,Non-Severe,Non-Severe,Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe,Non-Severe
P62837, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2051300, , , , , , , , , 
Q9HCU4, , , , , , , , , , , , , , , ,5094500, , , ,1702000,1956500,980510,432910, , ,1357800, , , , , ,1572400, , , , , , , , 
Q9GZX9, , , , , , , , , , ,11712000, ,1136500, , , , , , , , , , , , , , , , , , , , , , , , , ,1216600, 
Q08174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2714600, , , , , , , , , 
Q9C0E4, , , , ,195230000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q9UH03, , , , , ,1039200, , , , , , , ,605080, , , , , , , , , , , , , , ,470660, , , , , , , , , , , 
Q96IM9, , , , , , , , , , , , , , , , , , ,3180000, , , , , , , , , , , , , , , , , , , , , 
Q8N1C3, , , , , ,17270000, ,7595700, , , , , ,7702800,2416100,3868400,9004500,10552000,9641700,6722900,51892000,10229000,7960400,45853000,12998000,16421000,21036000,3965800,8670900,19444000,10118000,32351000,21195000,9661600,23649000,23398000,8386000,74636000,11153000,27043000
P30046, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3319200, , , , , , , , 
A0A0C4DH25, ,2153800, , , , , ,19026000, , , , , ,18196000,6380900,14346000,15756000, ,4199300,7214700,6853200,7781600,13197000,14285000,35531000,6098000,30897000,14797000, , ,12504000,7226100, ,21307000, ,685860,10490000,14584000,7606100,7590400
Q7KZ85, , , , , , , ,2567900, , , , , ,2808600,3173500,987100,7587700,2235600,1090900,1541700,2416500,1467500, , , , , , , , , , , , , , , , , , 
Q6NUK1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q8NG11,43544000,42573000,95863000,124890000,71678000,44905000,94248000,121110000,107890000,133940000,4924000, , ,183890000,411030000,379410000,308400000,105190000,171640000,169470000,234650000,39424000,60623000,114380000,71698000,79127000,610560000,23147000,122140000,28075000,49459000,71526000,267200000,88353000,25718000,337000000,247930000,306130000,173270000,228740000
O75489, , , , , ,683570, , , , , , , ,967020, , , , , , , , , , , , , , , , ,1448500, , , , , , , , , 
Q9BQB6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
O43761, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3125000, , , , , , , , , 
P22692,617680, , , , ,698670, , , , ,3134400,2494300,3440600, ,2230600, ,189260, , , ,376580,532420,360400,1665500,1413600, ,3030100,606770,480820,426230, , , , , , , , , , 
Q15181, , , , , , , , , , , , , , , , , , ,7145200,2107900,2323900, , , , , , , , , , ,1041500, , , , , , , , 
P18859, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,836900, , , , , , , , 
A0A075B6S5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3262300, , , ,3029400, , , , , , 
P02533, , , , , ,1428500, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P08574, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1905400, , , 
Q9UK76, , , , , ,3256500, , , , , , , ,868140, , , , , , , , , , , , , , ,1200700, ,1284500,524660, , ,545630,452050,4181900,543690, , 
O95399, , , , , ,6824000, , , , , ,854550, ,1868400, , , , , , , , ,544790, , , , , , , ,7767800, , , , , , , , , 
Q12904, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2047700, ,3197500,1722000, , , , , , , , 
O15460, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3490100, , , , , , , , , , , 
P43304, , , , , , , , , , , , , ,2920900, , , , , , , , , , , , , , , , , , , , , , , , , , 
Q07666, , , , , ,2006600, , , , , , , ,1629400, , , , , , , , , , , , , , ,4063900, , , , , , , , , , , 
P06280, , , , , , , , , , ,11052000,5097600,4791400, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q7Z5L0,8666700, ,11841000,15437000,8187900, , , , , , , , , , ,2882900,6538700,3486100,7733300,6759400,2592000,3669000,5680300,7348900,6615000,4079200,5391400,5571600,4275400,4245900,15493000, , , ,3062300,4454300, , , , 
P02795, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2376300, ,3506300, , , , , , , , , 
P25789, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1037900,2273100, ,2810800,1456100, ,562830, , , , , , 
Q8TEA8, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3381500, , , , , , , , , , , 
Q15555, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P22061, , , , , ,3896500, , , , , ,2141100,4015400,1521000,4925200,994010,1592400, ,1983400, , , , , , , , , ,3560900, ,1967000,1220900, , , , , , , , 
P35237,6610600,15766000,9812700,8665700,13027000,1823600, , , , ,4892400, ,4284900, , , , , , , , , , , , , , , , , , , , , , , , , , , 
P18077, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,870230, , , , , , , , , 
Q66K79, , , , , , , , , , ,20474000,3796100,3981500, , , , , , , , , , , , , , , , , , , , , , , , , , , 
P54577, , , , , , , , , , , , , , , ,1500300, , , , , , , , , , , , , , ,1305200, , , , , , , , , 
P30038, , , , , ,2617200, , , , , , , , , , , , , , , , ,606960, , , , ,1078800, , ,908830, , , ,1256900, , , , , 
Q86X29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,657290, 
A3QJZ6, , , , , ,364740000,2417600000,1887200000,3393100000,1204400000,33255000,72136000,58345000, ,1020600000,1225500000,1692200000,916880000,681230000,1002500000,1025900000,1206300,1512400,1067800000,413590000,1314800000,455630000,216820000,1473100000,522570000,479720000,796180000,4184100000,783100000,534470000,4691500000,3289800000,804190000, ,2748600000
P29622, , , , , , , , , , , , , , , ,2007400,1621300, ,3059500,1078400, , , , , , , , , , ,886790, , , , , ,3178600, ,2765000,4533900
Q14254, , , , , ,2319400, , , , , , , ,470060, , , , , , , , , , , , , , , , , , , , , , , , , , 
P51854, , , , , , , , , , , ,5506700,3122000, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q6U841, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,675770, , , , , , , , , 
Q99618,5838200,42610000,16695000,2095800, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q9H0K6, , , , , , , ,2114200, , , , , , , ,2619800,3571800, , , ,5357200,4403000,2291900,6450900,2431100,7340700,15400000,4365800,1822200, , , , , ,4425300, , ,14136000, ,6880700
Q9UP95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1264100, , , , , , , , , 
P11279, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q8N1G4, , , , , ,2188900, , , , , , , ,1590600, , , , , , , , , , , , , , , , , , , , , , , , , , 
P42658, , , , , , , , , , , , , , , , , , , , , , , , ,796870, , , ,918920, ,1268900, , , , , , , , , 
Q99969, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q9Y6H1, , , , , ,3908300, , , , , , , ,890350, , , , , , , , , , , , , , , , , , , , , , , , , , 
Q15843, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6573400, , , 
Q9NRV9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3552100, , , , , , , , , 
Q9Y3I0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3103000, , , , , , , , , , , 
A0A087WSX0, ,4002400, , , , , , , , , , , , , , ,2952200, , , , , ,2758900, ,1140800, , , ,1368700,4959200, ,1227900, ,7631100, , ,905880, , ,641080
P20674, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2806200, , , 
Q9Y2S6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1901200, , , 
Q9NR12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q12888, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Q9UM07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2434600, , , , , , , , 
P48444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P62140, , , , , ,1560400, , , , , , , ,848290, , , , , , , , , , , , , , ,1304500, , , , , , , , , , , 
P61026, , , , , ,1782900, , , , , , , ,1717500, , , , , , , , , , , , , , ,1155000, ,944310,341090, ,482660, , ,1537300,744200, , 
P22455,98999000, ,19034000,84926000, , , , , , , , , , , , , , , ,2097700,3755500, ,2638600,3078300,2690900,11472000,9022700, , ,2761700, , , , ,1722400, ,2684300,8460700, , 
Q9ULE3, , , , , , , , , , , , , , , ,1623700,1468300, ,2140600, ,8322500,4408500,1726400, ,16258000,15323000, ,10934000, , , ,5836600,5671600,8665300, , , ,68771000, ,4297100
Q96FW1, , , , , , , , , , , , , ,1679800, , , , , , , , , , , , , , , , , , , , , , , , , , 
